Open;Close;High;Low;Volume;Volume_Max;Volume_Min;Is_US_Elections;Trend;Trend_7_Days;Trend_31_Days;Trend_12_Months
353.3999938964844;359.69000244140625;359.69000244140625;351.9800109863281;162070000;11456230000;14990000;0;0;0;0;0
359.69000244140625;358.760009765625;360.5899963378906;357.8900146484375;192330000;11456230000;14990000;0;-1;0;0;0
358.760009765625;355.6700134277344;358.760009765625;352.8900146484375;177000000;11456230000;14990000;0;-1;0;0;0
355.6700134277344;352.20001220703125;355.6700134277344;351.3500061035156;158530000;11456230000;14990000;0;-1;0;0;0
352.20001220703125;353.7900085449219;354.239990234375;350.5400085449219;140110000;11456230000;14990000;0;1;0;0;0
353.8299865722656;349.6199951171875;354.1700134277344;349.6099853515625;155210000;11456230000;14990000;0;-1;0;0;0
349.6199951171875;347.3099975585937;349.6199951171875;344.32000732421875;175990000;11456230000;14990000;0;-1;0;0;0
347.3099975585937;348.5299987792969;350.1400146484375;347.3099975585937;154390000;11456230000;14990000;0;1;-1;0;0
348.5299987792969;339.92999267578125;348.5299987792969;339.489990234375;183880000;11456230000;14990000;0;-1;-1;0;0
339.92999267578125;337.0;339.94000244140625;336.57000732421875;140590000;11456230000;14990000;0;-1;-1;0;0
337.0;340.75;340.75;333.3699951171875;186070000;11456230000;14990000;0;1;-1;0;0
340.7699890136719;337.3999938964844;342.010009765625;336.260009765625;170470000;11456230000;14990000;0;-1;-1;0;0
337.3999938964844;338.19000244140625;338.3800048828125;333.9800109863281;178590000;11456230000;14990000;0;1;-1;0;0
338.19000244140625;339.1499938964844;340.4800109863281;338.19000244140625;185590000;11456230000;14990000;0;1;-1;0;0
339.1400146484375;330.3800048828125;339.9599914550781;330.2799987792969;148380000;11456230000;14990000;0;-1;-1;0;0
330.3800048828125;331.6099853515625;332.760009765625;328.6700134277344;179300000;11456230000;14990000;0;1;-1;0;0
331.6099853515625;330.260009765625;331.7099914550781;324.1700134277344;207830000;11456230000;14990000;0;-1;-1;0;0
330.260009765625;326.0799865722656;332.3299865722656;325.3299865722656;172270000;11456230000;14990000;0;-1;-1;0;0
326.0899963378906;325.79998779296875;328.5799865722656;321.44000244140625;198190000;11456230000;14990000;0;-1;-1;0;0
325.79998779296875;325.20001220703125;327.3099975585937;321.7900085449219;150770000;11456230000;14990000;0;-1;-1;0;0
325.20001220703125;322.9800109863281;325.7300109863281;319.8299865722656;186030000;11456230000;14990000;0;-1;-1;0;0
322.9800109863281;329.0799865722656;329.0799865722656;322.9800109863281;189660000;11456230000;14990000;0;1;-1;0;0
